nation,year,month,day,schools
england,2021,3,8,open
england,2021,7,24,closed
england,2021,9,1,open
england,2021,10,23,closed
england,2021,11,1,open
england,2021,12,18,closed
england,2022,1,4,open
england,2022,2,12,closed
england,2022,2,21,open
england,2022,4,2,closed
england,2022,4,19,open
england,2022,5,28,closed
england,2022,6,6,open
england,2022,7,23,closed
northern_ireland,2021,9,1,open
northern_ireland,2021,10,28,closed
northern_ireland,2021,11,1,open
northern_ireland,2021,12,23,closed
northern_ireland,2022,1,3,open
northern_ireland,2022,2,17,closed
northern_ireland,2022,2,21,open
northern_ireland,2022,4,14,closed
northern_ireland,2022,4,25,open
northern_ireland,2022,6,2,closed
northern_ireland,2022,6,6,open
northern_ireland,2022,7,1,closed
wales,2021,9,2,open
wales,2021,10,23,closed
wales,2021,11,1,open
wales,2021,12,18,closed
wales,2022,1,4,open
wales,2022,2,19,closed
wales,2022,2,28,open
wales,2022,4,9,closed
wales,2022,4,25,open
wales,2022,5,28,closed
wales,2022,6,6,open
wales,2022,7,23,closed
scotland,2021,8,18,open
scotland,2021,10,9,closed
scotland,2021,10,19,open
scotland,2021,12,24,closed
scotland,2022,1,10,open
scotland,2022,2,12,closed
scotland,2022,2,21,open
scotland,2022,4,2,closed
scotland,2022,4,18,open
scotland,2022,6,29,closed